Country,League,Year,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close
jordan,premier-league,2023.0,2023-08-03,Moghayer Al Sarhan,Al Ramtha,0,2,Pinnacle,3.78,2.98,1.94,3.77,3.07,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,3.15,1.35,1.34,2.71,2.67,1.37,1.47,2.07,2.06,1.66,1.78,1.79,1.75,1.96,2.06,1.34,1.35,2.84,3.06,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.53,2.25,2.42
jordan,premier-league,2023.0,2023-08-03,Al Jalil,Maan,1,1,Pinnacle,1.81,3.28,4.32,2.08,2.85,4.17,,,,,,,,,,,,,,,,,,,,,2.50,3.06,1.47,1.35,2.05,2.42,1.72,1.56,1.83,2.08,1.98,1.76,1.56,1.74,2.33,2.07,1.31,1.40,3.15,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,premier-league,2023.0,2023-08-04,Aqaba,Sahab,2,2,Pinnacle,2.35,2.80,3.02,2.30,3.17,3.12,,,,,,,,,,,,,,,,,,,,,,,,,2.78,2.72,1.36,1.43,2.32,2.27,1.52,1.62,2.02,1.98,1.75,1.85,1.63,1.64,2.11,2.24,1.43,1.46,2.53,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,premier-league,2023.0,2023-08-04,Al Wehdat,Al Ahli,1,0,Pinnacle,1.60,3.52,5.90,1.45,4.04,6.69,,,,,,,,,2.73,2.61,1.43,1.40,2.65,2.34,1.44,1.56,2.41,2.07,1.53,1.72,2.08,1.78,1.72,2.02,1.78,1.56,2.04,2.35,1.59,1.44,2.31,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,premier-league,2023.0,2023-08-05,Al Hussein,Shabab Al Ordon,5,0,Pinnacle,1.49,3.73,6.10,1.50,3.91,6.89,,,,,,,,,,,,,2.38,2.45,1.50,1.52,2.12,2.17,1.65,1.68,1.83,1.86,1.91,1.96,1.61,1.62,2.20,2.28,1.47,1.47,2.47,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,premier-league,2023.0,2023-08-05,Al-Faisaly Amman,Al Salt,2,1,Pinnacle,1.28,5.08,8.29,1.29,5.20,9.94,,,,,2.15,2.84,1.63,1.40,1.87,2.31,1.87,1.61,1.68,2.02,2.07,1.81,1.49,1.73,2.40,2.09,1.36,1.45,2.85,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,premier-league,2023.0,2023-08-10,Aqaba,Al Ahli,2,1,Pinnacle,1.83,3.17,4.39,1.93,3.12,4.21,,,,,,,,,,,,,,,,,,,,,2.62,2.79,1.45,1.40,2.11,2.22,1.70,1.64,1.85,1.93,1.95,1.88,1.58,1.65,2.33,2.21,1.32,1.36,3.20,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,premier-league,2023.0,2023-08-10,Al Wehdat,Al Jalil,2,2,Pinnacle,1.33,4.48,9.18,1.30,4.83,11.03,,,,,2.70,2.78,1.43,1.42,2.33,2.25,1.54,1.63,2.03,1.97,1.74,1.85,1.80,1.71,2.01,2.12,1.52,1.45,2.43,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan,premier-league,2023.0,2023-08-11,Al Salt,Al Hussein,0,3,Pinnacle,4.64,3.36,1.69,8.30,4.48,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,2.67,1.68,1.45,1.58,2.30,2.24,1.61,1.44,1.91,2.55,1.91,1.45,1.68,2.64,2.17,1.46,1.49,2.64,2.53,,,,,,,,,,,,,1.85,2.65,1.89,1.45
jordan,premier-league,2023.0,2023-08-11,Al Ramtha,Al-Faisaly Amman,0,1,Pinnacle,5.05,3.41,1.63,3.61,3.08,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,3.02,1.36,1.36,2.93,2.56,1.34,1.50,2.64,2.00,1.41,1.82,2.18,1.72,1.62,2.11,1.65,1.41,2.12,2.78,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.52,1.81,2.46
